"","valve","Timestamp","p1","p2","p1_abs","p2_abs","Headloss","Velocity","Flow","kv","Zv","sigma_0","sigma_1","sigma_2","level","scenarios_id"
"10243","RIKO_02",15M 0S,14.57,10.7,21.8404375797459,17.9704375797459,3.87,3.32,2610,15103.8451903773,6.88864494121063,5.20291078647046,4.20291078647046,3.67013097221944,2.32,"0244"
"10244","RIKO_02",16M 0S,14.4,10.7,21.6704375797459,17.9704375797459,3.7,3.32,2610,15446.9288472114,6.58604296704892,5.39601749828127,4.39601749828127,3.81652994233464,2.15,"0244"
"10245","RIKO_02",17M 0S,14.24,10.7,21.5104375797459,17.9704375797459,3.54,3.32,2610,15792.1542416866,6.30124110901437,5.59470755470076,4.59470755470076,3.96540255215428,1.98,"0244"
"10246","RIKO_02",18M 0S,14.07,10.7,21.3404375797459,17.9704375797459,3.37,3.32,2610,16185.572210289,5.99863913485266,5.82648805449279,4.82648805449279,4.13685569004392,1.8,"0244"
"10247","RIKO_02",19M 0S,13.91,10.7,21.1804375797459,17.9704375797459,3.2,3.32,2610,16609.938290072,5.69603716069096,6.08602023238772,5.08289523238772,4.32380517502859,1.63,"0244"
"10248","RIKO_02",20M 0S,13.74,10.7,21.0104375797459,17.9704375797459,3.04,3.32,2610,17041.4371150842,5.41123530265641,6.35041603409233,5.35041603409233,4.51587857266498,1.46,"0244"
"10249","RIKO_01",0S,17.78,10.47,25.0504375797459,17.7404375797459,7.31,3.32,2610,10989.6616011005,13.0118848889534,3.1936066680767,2.1936066680767,2.03705337881823,5,"0245"
"10250","RIKO_01",1M 0S,17.6,10.47,24.8704375797459,17.7404375797459,7.13,3.32,2610,11127.516403869,12.6914827986645,3.24898523753726,2.24898523753726,2.08472361075739,4.82,"0245"
"10251","RIKO_01",2M 0S,17.42,10.47,24.6904375797459,17.7404375797459,6.95,3.32,2610,11270.6926242452,12.3710807083757,3.30723233721449,2.30723233721449,2.13467842122704,4.63,"0245"
"10252","RIKO_01",3M 0S,17.24,10.47,24.5104375797459,17.7404375797459,6.77,3.32,2610,11419.541674392,12.0506786180868,3.36857677158651,2.36857677158651,2.18708607360059,4.45,"0245"
"10253","RIKO_01",4M 0S,17.06,10.47,24.3304375797459,17.7404375797459,6.59,3.32,2610,11574.4483378144,11.7302765277979,3.43327234349631,2.43327234349631,2.24213177100498,4.27,"0245"
"10254","RIKO_01",5M 0S,16.88,10.47,24.1504375797459,17.7404375797459,6.42,3.32,2610,11726.691337271,11.4276745536362,3.49614715633033,2.49770478872908,2.29672553247729,4.09,"0245"
"10255","RIKO_01",6M 0S,16.71,10.47,23.9804375797459,17.7404375797459,6.24,3.32,2610,11894.6238663977,11.1072724633474,3.56975396532703,2.56975396532703,2.35750517245428,3.91,"0245"
"10256","RIKO_01",7M 0S,16.53,10.47,23.8004375797459,17.7404375797459,6.06,3.32,2610,12069.9840452042,10.7868703730585,3.64608329102982,2.64608329102982,2.42158915414018,3.73,"0245"
"10257","RIKO_01",8M 0S,16.36,10.47,23.6304375797459,17.7404375797459,5.89,3.32,2610,12242.9298400999,10.4842683988968,3.7224558138609,2.7224558138609,2.48539623641995,3.55,"0245"
"10258","RIKO_01",9M 0S,16.18,10.47,23.4504375797459,17.7404375797459,5.71,3.32,2610,12434.4034352917,10.1638663086079,3.80827753829084,2.80827753829084,2.55672691410202,3.37,"0245"
"10259","RIKO_01",10M 0S,16.01,10.47,23.2804375797459,17.7404375797459,5.54,3.32,2610,12623.7424580118,9.86126433444622,3.89445211979074,2.89445211979074,2.62795900898309,3.19,"0245"
"10260","RIKO_01",11M 0S,15.83,10.47,23.1004375797459,17.7404375797459,5.37,3.32,2610,12822.00273709,9.55866236028451,3.9842206226519,2.98608282004482,2.70327400220851,3.02,"0245"
"10261","RIKO_01",12M 0S,15.66,10.47,22.9304375797459,17.7404375797459,5.19,3.32,2610,13042.454465978,9.23826026999565,4.08964638605794,3.08964638605794,2.78787183602892,2.84,"0245"
"10262","RIKO_01",13M 0S,15.49,10.47,22.7604375797459,17.7404375797459,5.02,3.32,2610,13261.4541936651,8.93565829583394,4.19427584534675,3.19427584534675,2.8727796998235,2.67,"0245"
"10263","RIKO_01",14M 0S,15.32,10.47,22.5904375797459,17.7404375797459,4.85,3.32,2610,13491.8697167445,8.63305632167223,4.30624015332798,3.30624015332798,2.96302196349038,2.49,"0245"
"10264","RIKO_01",15M 0S,15.15,10.47,22.4204375797459,17.7404375797459,4.68,3.32,2610,13734.7285823481,8.33045434751052,4.42633862043605,3.42633862043605,3.05911763710309,2.32,"0245"
"10265","RIKO_01",16M 0S,14.98,10.47,22.2504375797459,17.7404375797459,4.51,3.32,2610,13991.192668383,8.02785237334882,4.55549107397798,3.55549107397798,3.1616553169297,2.15,"0245"
"10266","RIKO_01",17M 0S,14.81,10.47,22.0804375797459,17.7404375797459,4.34,3.32,2610,14262.5816394873,7.72525039918711,4.69476146166836,3.69476146166836,3.27130525208926,1.98,"0245"
